pair,regime,regime_label,start,end,days,mean_basis_rate,min_basis_rate,max_basis_rate
IH+50ETF,-1,discount,2024-02-06,2024-02-20,5,-0.0812030720739553,-0.12077982159631118,-0.02962280791719324
IH+50ETF,0,neutral,2024-02-21,2024-02-22,2,0.02522932228693435,0.015517181790966367,0.03494146278290233
IH+50ETF,1,premium,2024-02-23,2024-03-04,7,0.03389317097340443,0.007460026393770247,0.06846667548765321
IH+50ETF,0,neutral,2024-03-05,2024-03-06,2,-0.08549542402857184,-0.13322346680205135,-0.037767381255092325
IH+50ETF,-1,discount,2024-03-07,2024-03-07,1,-0.10071380947990863,-0.10071380947990863,-0.10071380947990863
IH+50ETF,0,neutral,2024-03-08,2024-03-12,3,0.06307794144125996,0.009035843772814998,0.09027585736449689
IH+50ETF,1,premium,2024-03-13,2024-04-12,21,0.1082990353261551,0.0308691172503971,0.5979923783055666
IH+50ETF,0,neutral,2024-04-15,2024-04-15,1,-0.0191980081900568,-0.0191980081900568,-0.0191980081900568
IH+50ETF,1,premium,2024-04-16,2024-05-15,19,0.121046405522996,0.054613419055262,0.5409286555135289
IH+50ETF,0,neutral,2024-05-16,2024-05-16,1,-0.013524287918700958,-0.013524287918700958,-0.013524287918700958
IH+50ETF,1,premium,2024-05-17,2024-05-17,1,0.019013648176603,0.019013648176603,0.019013648176603
IH+50ETF,0,neutral,2024-05-20,2024-05-27,6,-0.015222306570119503,-0.0378976829429639,0.0055311883889667506
IH+50ETF,-1,discount,2024-05-28,2024-06-18,15,-0.08500726602751384,-0.2989184195962467,-0.009553705542572809
IH+50ETF,0,neutral,2024-06-19,2024-06-20,2,0.1241381532667757,0.08268496706509046,0.16559133946846094
IH+50ETF,-1,discount,2024-06-21,2024-07-22,22,-0.2601680298799231,-0.8187819577620942,-0.026316255127777237
IH+50ETF,0,neutral,2024-07-23,2024-07-23,1,0.027862777124147597,0.027862777124147597,0.027862777124147597
IH+50ETF,-1,discount,2024-07-24,2024-07-25,2,-0.02442881031435347,-0.038751739629504955,-0.010105880999201983
IH+50ETF,0,neutral,2024-07-26,2024-07-29,2,0.01942237422687327,0.011716297548282045,0.027128450905464493
IH+50ETF,1,premium,2024-07-30,2024-08-06,6,0.04472163293492635,0.013885145735856579,0.0713630811191038
IH+50ETF,0,neutral,2024-08-07,2024-08-14,6,-0.026057832732765778,-0.17997770860005796,0.062210781594126185
IH+50ETF,-1,discount,2024-08-15,2024-08-15,1,-0.3304257629142919,-0.3304257629142919,-0.3304257629142919
IH+50ETF,0,neutral,2024-08-16,2024-08-19,2,0.019564486984390374,0.01707268648610762,0.022056287482673125
IH+50ETF,1,premium,2024-08-20,2024-08-21,2,0.012847310291238544,0.012350306381627065,0.013344314200850024
IH+50ETF,0,neutral,2024-08-22,2024-08-26,3,0.012328819992111273,-0.0028324387371354356,0.020178752445342923
IH+50ETF,1,premium,2024-08-27,2024-08-27,1,0.03355076204953381,0.03355076204953381,0.03355076204953381
IH+50ETF,0,neutral,2024-08-28,2024-08-30,3,0.018373189409843164,-0.0065863083532355995,0.04846262307662461
IH+50ETF,1,premium,2024-09-02,2024-09-09,6,0.019191058768755025,0.010399921291464487,0.03591668856076667
IH+50ETF,0,neutral,2024-09-10,2024-09-10,1,-0.01181497223959592,-0.01181497223959592,-0.01181497223959592
IH+50ETF,1,premium,2024-09-11,2024-09-30,12,0.1767436379121469,0.002693575458144977,0.7936730085653696
IH+50ETF,0,neutral,2024-10-08,2024-10-09,2,-0.18655791504217845,-0.3533252458910855,-0.01979058419327142
IH+50ETF,1,premium,2024-10-10,2024-10-11,2,0.2127623611184497,0.20367079419639098,0.22185392804050844
IH+50ETF,0,neutral,2024-10-14,2024-10-15,2,-0.08912638689112967,-0.11743233144933113,-0.060820442332928215
IH+50ETF,1,premium,2024-10-16,2024-10-16,1,0.07913573372493936,0.07913573372493936,0.07913573372493936
IH+50ETF,0,neutral,2024-10-17,2024-10-17,1,-0.4486244904697161,-0.4486244904697161,-0.4486244904697161
IH+50ETF,1,premium,2024-10-18,2024-12-03,33,0.06280842054936804,0.016128903977442394,0.12407963538397712
IH+50ETF,0,neutral,2024-12-04,2024-12-06,3,0.017381623339337477,0.0005589883606719123,0.031163337146804033
IH+50ETF,1,premium,2024-12-09,2024-12-13,5,0.07937363184120073,0.03556688616613245,0.17339135741516593
IH+50ETF,0,neutral,2024-12-16,2024-12-17,2,-0.09426087228346576,-0.16289447620173553,-0.025627268365195993
IH+50ETF,-1,discount,2024-12-18,2024-12-19,2,-0.14162593738046014,-0.2000769405348305,-0.08317493422608982
IH+50ETF,0,neutral,2024-12-20,2024-12-23,2,0.04307622513191439,0.0382972705349555,0.04785517972887329
IH+50ETF,1,premium,2024-12-24,2024-12-30,5,0.049592083632309304,0.03653498915396498,0.06595629684897458
IH+50ETF,0,neutral,2024-12-31,2024-12-31,1,-0.018406679068915396,-0.018406679068915396,-0.018406679068915396
IH+50ETF,1,premium,2025-01-02,2025-01-15,10,0.06993545919865696,0.005345046552300777,0.18480073408484826
IH+50ETF,0,neutral,2025-01-16,2025-01-16,1,-0.06442674228089976,-0.06442674228089976,-0.06442674228089976
IH+50ETF,1,premium,2025-01-17,2025-01-24,6,0.04884688777390903,0.042202524816662014,0.0686382208814848
IH+50ETF,0,neutral,2025-01-27,2025-02-06,3,0.026772024591715026,0.0016327729871544114,0.049654450052640534
IH+50ETF,1,premium,2025-02-07,2025-03-04,18,0.057624802039191306,0.028587701752928397,0.0862564673835965
IH+50ETF,0,neutral,2025-03-05,2025-03-13,7,0.013257146555660763,-0.054293623142857794,0.05352767506497585
IH+50ETF,1,premium,2025-03-14,2025-04-03,15,0.08413685749942741,0.014468292054767504,0.4432498257525109
IH+50ETF,0,neutral,2025-04-07,2025-04-08,2,-0.09506972639731069,-0.10992070815358695,-0.08021874464103443
IH+50ETF,-1,discount,2025-04-09,2025-06-24,51,-0.06552476648940939,-0.8266756982645209,-0.005416005515375903
IH+50ETF,0,neutral,2025-06-25,2025-07-10,12,0.00275897644892985,-0.004300638364745014,0.013298470355999778
IH+50ETF,1,premium,2025-07-11,2025-09-02,38,0.04024822682716626,0.015628148276418553,0.0919737708226351
IH+50ETF,0,neutral,2025-09-03,2025-09-04,2,-0.05837471246405072,-0.060123239171061715,-0.05662618575703972
IH+50ETF,1,premium,2025-09-05,2025-09-05,1,0.01971906772938038,0.01971906772938038,0.01971906772938038
IH+50ETF,0,neutral,2025-09-08,2025-09-12,5,0.03375270226686462,-0.008016403699177756,0.14097195375493582
IH+50ETF,1,premium,2025-09-15,2025-09-17,3,0.1387267728782043,0.025626426463462054,0.24364377133713092
IH+50ETF,0,neutral,2025-09-18,2025-09-18,1,-0.2216931026724867,-0.2216931026724867,-0.2216931026724867
IH+50ETF,1,premium,2025-09-19,2025-11-18,37,0.02836657984136788,0.005088069092907141,0.04141449195169371
IH+50ETF,0,neutral,2025-11-19,2025-12-09,15,-0.011429248796383896,-0.04468987866897338,0.008926358516766313
IH+50ETF,-1,discount,2025-12-10,2025-12-18,7,-0.15141418506084023,-0.3939678589855432,-0.06606318374361601
IH+50ETF,0,neutral,2025-12-19,2025-12-22,2,0.03589636691273125,0.033265755403671785,0.03852697842179071
IH+50ETF,1,premium,2025-12-23,2026-02-12,36,0.041231698115995655,0.02468100489675823,0.07945373828865604
IH+50ETF,0,neutral,2026-02-13,2026-02-13,1,-0.015029028160005939,-0.015029028160005939,-0.015029028160005939
IH+50ETF,1,premium,2026-02-24,2026-03-11,12,0.0321532442447536,0.010735741147080535,0.06840918379580563
IH+50ETF,0,neutral,2026-03-12,2026-03-12,1,-0.04496891554931945,-0.04496891554931945,-0.04496891554931945
IH+50ETF,1,premium,2026-03-13,2026-03-13,1,0.03697717467791478,0.03697717467791478,0.03697717467791478
IH+50ETF,0,neutral,2026-03-16,2026-03-17,2,-0.03037021789970632,-0.030503493885284186,-0.030236941914128457
IH+50ETF,-1,discount,2026-03-18,2026-03-18,1,-0.1399033223237023,-0.1399033223237023,-0.1399033223237023
IH+50ETF,0,neutral,2026-03-19,2026-04-13,17,0.027150119689394406,-0.0224678700023972,0.5305654779485738
IH+50ETF,-1,discount,2026-04-14,2026-04-17,4,-0.011616288773563164,-0.01666084823958862,-0.004067423221724403
IH+50ETF,0,neutral,2026-04-20,2026-05-07,11,-0.0063354862259301925,-0.018294359195482994,0.006842156491503888
IH+50ETF,-1,discount,2026-05-08,2026-06-11,25,-0.0796650932422181,-0.2920563958946609,-0.006290553634452828
IH+50ETF,0,neutral,2026-06-12,2026-06-12,1,0.15312592158228205,0.15312592158228205,0.15312592158228205
IF+300ETF,0,neutral,2019-01-02,2019-01-11,8,-0.004308541401633869,-0.08495598589116973,0.07485831178897903
IF+300ETF,1,premium,2019-01-14,2019-01-22,7,0.08830657496380989,0.004773167061174492,0.37377779934032807
IF+300ETF,0,neutral,2019-01-23,2019-01-23,1,-0.013047861876592891,-0.013047861876592891,-0.013047861876592891
IF+300ETF,1,premium,2019-01-24,2019-02-11,8,0.04301204891910888,0.009415680831298217,0.11277791233312574
IF+300ETF,0,neutral,2019-02-12,2019-02-14,3,0.021630438372006493,-0.0008285131381836532,0.036092947691354856
IF+300ETF,1,premium,2019-02-15,2019-02-18,2,0.030990113570409483,0.0073701837728485575,0.05461004336797041
IF+300ETF,0,neutral,2019-02-19,2019-02-22,4,0.026578719411823878,-0.01034239048640011,0.09753786855076348
IF+300ETF,1,premium,2019-02-25,2019-03-01,5,0.11668370078972194,0.0023433657593689844,0.38485566736719834
IF+300ETF,0,neutral,2019-03-04,2019-03-04,1,-0.06352114003977177,-0.06352114003977177,-0.06352114003977177
IF+300ETF,1,premium,2019-03-05,2019-03-05,1,0.06527236548978685,0.06527236548978685,0.06527236548978685
IF+300ETF,0,neutral,2019-03-06,2019-03-12,5,-0.05370321251256231,-0.2572703797862234,0.22305165015655445
IF+300ETF,-1,discount,2019-03-13,2019-03-13,1,-0.16596718567748278,-0.16596718567748278,-0.16596718567748278
IF+300ETF,0,neutral,2019-03-14,2019-03-15,2,0.03491229191855028,0.018721762103685084,0.05110282173341548
IF+300ETF,1,premium,2019-03-18,2019-03-20,3,0.020755322042342164,0.0065753239873303695,0.04907681739219742
IF+300ETF,0,neutral,2019-03-21,2019-03-21,1,-0.02224870626061816,-0.02224870626061816,-0.02224870626061816
IF+300ETF,1,premium,2019-03-22,2019-03-22,1,0.032994476769727395,0.032994476769727395,0.032994476769727395
IF+300ETF,0,neutral,2019-03-25,2019-04-10,12,0.02040915710604135,-0.05639877287397392,0.1403411086563182
IF+300ETF,1,premium,2019-04-11,2019-04-12,2,0.14218932564354136,0.10767044388890268,0.17670820739818005
IF+300ETF,0,neutral,2019-04-15,2019-04-15,1,-0.176605582767687,-0.176605582767687,-0.176605582767687
IF+300ETF,1,premium,2019-04-16,2019-04-16,1,0.21544613125834852,0.21544613125834852,0.21544613125834852
IF+300ETF,0,neutral,2019-04-17,2019-04-18,2,-0.21359038899767696,-0.29575490839104496,-0.131425869604309
IF+300ETF,1,premium,2019-04-19,2019-04-19,1,0.031172115644734072,0.031172115644734072,0.031172115644734072
IF+300ETF,0,neutral,2019-04-22,2019-04-26,5,0.00039258949229170473,-0.019166490048657846,0.029425154843933286
IF+300ETF,1,premium,2019-04-29,2019-04-30,2,0.04010208126650134,0.0041133898886051255,0.07609077264439755
IF+300ETF,0,neutral,2019-05-06,2019-05-07,2,-0.10463399282078004,-0.14875381056107395,-0.06051417508048611
IF+300ETF,-1,discount,2019-05-08,2019-06-18,29,-0.14866378359459417,-0.5811667635271267,-0.025623354523601143
IF+300ETF,0,neutral,2019-06-19,2019-06-19,1,0.12982224706688195,0.12982224706688195,0.12982224706688195
IF+300ETF,-1,discount,2019-06-20,2019-07-17,20,-0.15710163922051376,-0.6506010864236217,-0.025246343435788847
IF+300ETF,0,neutral,2019-07-18,2019-07-18,1,0.23025869649253938,0.23025869649253938,0.23025869649253938
IF+300ETF,-1,discount,2019-07-19,2019-07-24,4,-0.02143445010306631,-0.030357504815460477,-0.011564157086427641
IF+300ETF,0,neutral,2019-07-25,2019-07-29,3,-0.013479848141605709,-0.0374238479178434,0.008771384208928404
IF+300ETF,-1,discount,2019-07-30,2019-07-30,1,-0.030677691116240455,-0.030677691116240455,-0.030677691116240455
IF+300ETF,0,neutral,2019-07-31,2019-07-31,1,0.03479062742175766,0.03479062742175766,0.03479062742175766
IF+300ETF,-1,discount,2019-08-01,2019-08-16,12,-0.20892440111723598,-0.6284288358144675,-0.013350841098039003
